index,Instrument,Company Common Name,Company Market Cap,TRBC Economic Sector Name,Book Value Per Share,Enterprise Value To EBITDA (Daily Time Series Ratio),Revenue,Net Income Incl Extra Before Distributions,Free Cash Flow,Dividend yield
0,RIGL.OQ,Rigel Pharmaceuticals Inc,622954126.08,Healthcare,0.1870413562,4.49489677001542,179278000,17485000,19317000.0,
1,NIC.N,Nicolet Bankshares Inc,3315296811.75,Financials,83.9560747664,16.007245509907,,150686000,,0.82479541207552
2,EHAB.N,Enhabit Inc,564774957.0,Healthcare,10.4282868526,13.4520128456376,1034800000,-156200000,-126300000.0,
3,UNP.N,Union Pacific Corp,154685285792.8,Industrials,31.0369747899,15.0258537724637,24510000000,7138000000,2576000000.0,2.11753874482124
4,AON.N,Aon PLC,69004650000.0,Financials,43.3163501621,14.2523389771339,17181000000,3695000000,3824000000.0,0.926328877836494
5,ZGN.N,Ermenegildo Zegna NV,2805146622.72,Consumer Cyclicals,3.6421737255,7.76797733128919,1946647000,77083000,159796000.0,1.2725
6,USB.N,US Bancorp,89707950000.0,Financials,41.8709055877,9.33793997648849,,7570000000,,3.60547755243543
7,CRMT.OQ,America's CAR-MART Inc,176098752.61,Consumer Cyclicals,75.7261683746,14.8966790799035,1390932000,17932000,21609000.0,
8,SNPS.OQ,Synopsys Inc,83623274660.54,Technology,172.7851195813,59.1565179672017,7054178000,1332220000,-14837277000.0,
9,OWL.N,Blue Owl Capital Inc,19183464830.1,Financials,,31.2939190915126,2870178000,78833000,,7.31707317073171
10,IAC.OQ,IAC Inc,2656418949.64,Technology,66.4390337834,15.5396065227428,2393189000,-104026000,-5333000.0,
11,NRIX.OQ,Nurix Therapeutics Inc,1604350987.2,Healthcare,6.216294085,,83980000,-264457000,-269719000.0,
12,AOUT.OQ,American Outdoor Brands Inc,109621759.8,Consumer Cyclicals,13.869280025,12.8388090405014,222322000,-77000,9327000.0,
13,SWX.N,Southwest Gas Holdings Inc,6350739785.94,Utilities,48.7769797191,9.66038807196112,2475216000,198815000,-480415000.0,2.81882245964992
14,TK.N,Teekay Corp Ltd,973772334.02,Energy,7.7751963783,4.95747745737087,1220374000,133770000,334838000.0,
15,MET.N,MetLife Inc,50661243000.0,Financials,,9.10861009918846,,3379000000,,2.93623075928082
16,NOV.N,Nov Inc,6919767244.8,Energy,16.8494623656,7.3649425321393,8744000000,145000000,-27000000.0,1.5625
17,SLAB.OQ,Silicon Laboratories Inc,6830775403.83,Technology,33.4469606675,,784764000,-64907000,-56744000.0,
18,QLYS.OQ,Qualys Inc,3761895092.28,Technology,15.5263405456,14.0243360652673,669125000,198320000,207821000.0,
19,CPNG.N,Coupang Inc,31016475195.24,Consumer Cyclicals,2.2870680045,22.2210993062414,30268000000,154000000,-380000000.0,
20,REYN.OQ,Reynolds Consumer Products Inc,4991452631.34,Consumer Non-Cyclicals,10.7132667618,9.6239949646338,3721000000,301000000,81000000.0,3.87694900969237
21,SEVN.OQ,Seven Hills Realty Trust,178864836.15,Real Estate,18.3032898314,27.9304833543804,67043000,17820000,-1661000.0,13.6939010356732
22,PII.N,Polaris Inc,3702265278.06,Consumer Cyclicals,14.5588752197,11.993810848156,7152000000,-465500000,-511500000.0,4.13248252810696
23,PLXS.OQ,Plexus Corp,5391579876.48,Technology,53.7979140469,19.6494388689415,4032966000,172885000,155413000.0,
24,CAL.N,Caleres Inc,400306587.22,Consumer Cyclicals,17.9364613588,5.87543235066367,2722683000,107255000,101145000.0,2.37087214225233
25,CMC.N,Commercial Metals Co,8832666769.52,Basic Materials,37.1086243404,12.5468712982756,7798480000,84662000,-113715000.0,0.904068307383225
26,SWK.N,Stanley Black & Decker Inc,14103824821.84,Industrials,59.8619577146,11.9767762634384,15130400000,401900000,130400000.0,3.64594772677356
27,BCBP.OQ,BCB Bancorp Inc,146483520.0,Financials,17.7053415571,11.5102421149064,,-12527000,,3.77358490566038
28,HPE.N,Hewlett Packard Enterprise Co,30280557649.99,Technology,18.6465256798,9.87556441194824,34296000000,57000000,-410000000.0,2.51211987659762
29,HUN.N,Huntsman Corp,2295251053.46,Basic Materials,17.0366066241,9.36586998506849,6036000000,-189000000,-169000000.0,2.64950794852385
30,LDOS.N,Leidos Holdings Inc,22540866823.6,Technology,32.9253731343,11.2474804383726,16662000000,1254000000,1184000000.0,0.975609756097561
31,SR.N,Spire Inc,5427430641.92,Utilities,57.9384615385,12.5292526624829,2476400000,271700000,-564300000.0,3.59320557491289
32,EQIX.OQ,Equinix Inc,93950379604.32,Real Estate,144.6216401214,27.7877399167254,9217000000,1350000000,-2769000000.0,2.01110657923634
33,MOH.N,Molina Healthcare Inc,6970525000.0,Healthcare,77.0643939394,2.74721654749745,45426000000,472000000,566000000.0,
34,MASS.OQ,908 Devices Inc,234892427.22,Healthcare,3.3628044343,,59631000,-72206000,-68162000.0,
35,MOD.N,Modine Manufacturing Co,11416304150.5,Consumer Cyclicals,17.3041825095,28.3778615743822,2583500000,184000000,179200000.0,
36,USFD.N,US Foods Holding Corp,22038757763.01,Consumer Non-Cyclicals,18.9735682819,15.3740212151741,39424000000,676000000,728000000.0,
37,GOOD.OQ,Gladstone Commercial Corp,635346626.29,Real Estate,8.169560789,14.4661685630906,149388000,23998000,-35556000.0,10.2827763496144
38,SIRI.OQ,Sirius XM Holdings Inc,7127314551.33,Consumer Cyclicals,34.2100591716,6.73885448926329,8558000000,805000000,334000000.0,5.07280413339596
39,UVE.N,Universal Insurance Holdings Inc,874283620.77,Financials,13.0974103446,1.37890378244489,,58928000,32577000.0,2.05325633622072
40,ACTG.OQ,Acacia Research Corp,386806115.78,Industrials,,,24180000,-22272000,,
41,MPX.N,Marine Products Corp,281270317.86,Consumer Cyclicals,,13.8064418123856,244419000,,,7.01754385964912
42,NUS.N,NU Skin Enterprises Inc,402952000.0,Consumer Non-Cyclicals,16.3357880429,3.26087966547933,1485159000,160204000,167222000.0,2.87081339712919
43,WTTR.N,Select Water Solutions Inc,1552882818.1,Energy,7.9362499659,9.18024472047655,1452075000,30644000,-12626000.0,2.18408736349454
44,SITE.N,SiteOne Landscape Supply Inc,6971010625.28,Industrials,37.0098321866,18.9168662842975,4704800000,155400000,243100000.0,
45,SILA.N,Sila Realty Trust Inc,1413273107.84,Real Estate,24.9550272949,12.3146099394867,186856000,42657000,-102333000.0,6.2402496099844
46,IDT.N,IDT Corp,1222576399.72,Technology,12.1141416548,7.59232760130675,1231495000,76094000,75827000.0,0.492206726825267
47,EVR.N,Evercore Inc,13220288165.0,Financials,,14.0177497936583,3880084000,591922000,,1.04257167680278
48,AHCO.OQ,Adapthealth Corp,1381328206.8,Healthcare,11.7463515655,4.82577348663336,3260975000,90422000,165225000.0,
49,NN.OQ,NextNav Inc,2169400025.92,Technology,0.4125185185,,5669000,-101879000,-97433000.0,
0,PENN.OQ,PENN Entertainment Inc,1562551564.56,Consumer Cyclicals,18.8211702827,11.6071552397042,6578100000,-311500000,-420300000.0,
1,EME.N,EMCOR Group Inc,35849399208.48,Industrials,63.0181044824,20.7075826709954,14566116000,1007145000,1022491000.0,0.199795209909842
2,FFAI.OQ,Faraday Future Intelligent Electric Inc,125283924.63,Consumer Cyclicals,6.2045286632,,539000,-355847000,-291985000.0,
3,SPSC.OQ,SPS Commerce Inc,2334947100.48,Technology,25.7092737784,12.3673523625263,751505000,93339000,125073000.0,
4,ZG.OQ,Zillow Group Inc,10417064301.6,Real Estate,20.1876575869,40.1951877186441,2583000000,23000000,20000000.0,
5,SBSI.N,Southside Bancshares Inc,982047920.0,Financials,,9.36379097401989,,,,4.35835351089588
6,OFIX.OQ,Orthofix Medical Inc,529843437.42,Healthcare,13.1936912462,15.115117022899,799491000,-125997000,-100773000.0,
7,SAFX.OQ,XCF Global Inc,41811435.8568,Energy,0.2823834586,,0,-18384350,-5274560.0,
8,RLJ.N,RLJ Lodging Trust,1252495296.62,Real Estate,14.9458143754,11.0602819596177,1369440000,68021000,-9246000.0,7.23763570566948
9,BARK.N,Bark Inc,135535964.043,Consumer Cyclicals,0.5706780126,,484182000,-32878000,-27813000.0,
10,WASH.OQ,Washington Trust Bancorp Inc,683354166.5,Financials,29.1403580384,28.2526783548854,,-28059000,-65697000.0,6.23955431754875
11,BGC.OQ,Bgc Group Inc,4352904285.24,Financials,1.8980269968,14.3459658777939,2262818000,126988000,97981000.0,0.868621064060803
12,BDN.N,Brandywine Realty Trust,547151972.85,Real Estate,4.5699982244,11.961528337979,484454000,-178247000,,14.6031746031746
13,WY.N,Weyerhaeuser Co,19274204250.0,Real Estate,13.034423822,21.4066762510974,6905000000,324000000,-247000000.0,3.14018691588785
14,AEHR.OQ,Aehr Test Systems,883292543.28,Technology,4.1537135323,,58968000,-3910000,-6590000.0,
15,LKQ.OQ,LKQ Corp,8728440804.6,Consumer Cyclicals,22.8262518968,7.7306622577206,14355000000,690000000,463000000.0,3.51906158357771
16,BFa.N,Brown-Forman Corp,13918649107.14,Consumer Non-Cyclicals,8.4480223419,13.1021363767258,3975000000,869000000,369000000.0,3.05757776307081
17,LAMR.OQ,Lamar Advertising Co,13348163271.78,Real Estate,10.2404038539,16.4448260916631,2207103000,361867000,121043000.0,4.70445405569467
18,WMS.N,Advanced Drainage Systems Inc,13318587123.3,Consumer Cyclicals,20.865362545,15.2843734485738,2904245000,450172000,369002000.0,0.4211018832612
19,IMKTA.OQ,Ingles Markets Inc,1696957551.84,Consumer Non-Cyclicals,85.0741945776,7.21827858549749,5334032610,83592500,79713000.0,0.73875083948959
20,REFI.OQ,Chicago Atlantic Real Estate Finance Inc,252060564.08,Real Estate,16.0252133095,9.07990103354689,61935920,37045400,,15.7190635451505
21,MYRG.OQ,MYR Group Inc,4252480374.3,Industrials,36.458371288,20.1585537452811,3362290000,30263000,19514000.0,
22,TCI.N,Transcontinental Realty Investors Inc,464363235.0,Real Estate,96.3360542265,96.8140121136174,47070000,5862000,-38998000.0,
23,BELFA.OQ,Bel Fuse Inc,2911386974.74,Technology,28.5831153389,26.9823061832863,534792000,40960000,48088000.0,0.111493078138066
24,THC.N,Tenet Healthcare Corp,20310223500.0,Healthcare,46.8108707709,7.77804697469748,21310000000,1407000000,2220000000.0,
25,EA.OQ,Electronic Arts Inc,50205899902.06,Technology,24.3740458015,37.4367579163318,7463000000,1121000000,1012000000.0,0.378825640514405
26,FRD.OQ,Friedman Industries Inc,137549599.88,Basic Materials,19.0687728595,12.5252561990435,444600000,6085000,4259000.0,0.827300930713547
27,GMRE.N,Global Medical REIT Inc,483603403.06,Real Estate,40.5033669012,13.4120305478406,138780000,6633000,-104870000.0,11.7185472691988
28,PEN.N,Penumbra Inc,13310627031.0,Healthcare,29.7908253252,67.6378603967632,1194615000,14012000,16532000.0,
29,BMRC.OQ,Bank of Marin Bancorp,438637193.88,Financials,24.7556141011,,,-35675000,,3.67107195301028
30,FBNC.OQ,First Bancorp (North Carolina),2526482495.97,Financials,,16.3112762748395,,111048000,,1.50992942721155
31,STZ.N,Constellation Brands Inc,25890235724.6,Consumer Non-Cyclicals,37.9223699002,10.2429121812903,10208700000,-81400000,-1530000000.0,2.73275284661755
32,ZUMZ.OQ,Zumiez Inc,421197013.3,Consumer Cyclicals,17.3896289248,8.77684521572865,889202000,-1713000,5623000.0,
33,STKL.OQ,Sunopta Inc,760419312.256738,Consumer Non-Cyclicals,1.4032430949,0.132446543884754,725428000,-17393000,-7749000.0,
34,UPS.N,United Parcel Service Inc,101161498824.76,Industrials,19.1130742049,9.63063453147005,88661000000,5572000000,235000000.0,5.50150956055015
35,LENb.N,Lennar Corp,29950867787.01,Consumer Cyclicals,85.1978963786,11.1181648273605,34186934000,2078179000,1533022000.0,1.75054704595186
36,ANIP.OQ,ANI Pharmaceuticals Inc,1738204315.52,Healthcare,22.1829381924,12.118906218542,614376000,-18522000,29723000.0,
37,RPC.N,Ridgepost Capital Inc,,Financials,3.0830926974,,296448000,18700000,25997000.0,
38,DOX.OQ,Amdocs Ltd,7473346584.97,Technology,31.4446971017,7.98366534903409,4532913000,564704000,430646000.0,3.28759208435649
39,TTI.N,Tetra Technologies Inc,1463189051.16,Energy,1.9391372573,15.467356916553,599111000,108284000,87602000.0,
40,RRR.OQ,Red Rock Resorts Inc,6520690299.2,Consumer Cyclicals,,12.1743271178631,2011483000,188066000,,1.68831168831169
41,AMBQ.N,Ambiq Micro Inc,629587998.27,Technology,4.8620809511,,76067000,-39661000,-37092000.0,
42,NRG.N,NRG Energy Inc,33029051968.8,Utilities,12.0291262136,13.4207691294259,28130000000,1125000000,1252000000.0,1.10240789091964
43,MP.N,MP Materials Corp,10284684928.49,Basic Materials,6.3226812705,,203855000,-65424000,-173780000.0,
44,CNO.N,CNO Financial Group Inc,4069170000.0,Financials,,5.84680832979175,,229300000,,1.57919182535996
45,WMB.N,Williams Companies Inc,88326160000.0,Energy,10.4889434889,17.7419925980755,11950000000,2618000000,-2329000000.0,2.90536801328168
46,PRVA.OQ,Privia Health Group Inc,2754004234.31,Healthcare,5.3196680981,49.1778214416943,1736390000,14385000,24348000.0,
47,UBSI.OQ,United Bankshares Inc,6171516497.64,Financials,38.8416351107,7.08926428069194,,464603000,,3.44514959202176
48,FSLR.OQ,First Solar Inc,24214082016.65,Energy,74.5463439705,11.3994050677935,4206289000,1292044000,183868000.0,
49,ESAB.N,ESAB Corp,8185052436.12,Industrials,29.274700659,16.3482603564397,2740803000,264842000,290886000.0,0.296691885476932
0,PPL.N,PPL Corp,27976935674.14,Utilities,19.0808343138,12.6617713070514,,888000000,-1307000000.0,2.88207297726071
1,ASB.N,Associated Banc-Corp,4622406145.1,Financials,30.139187904,6.47897986147673,,474777000,318797000.0,3.44703770197486
2,RJF.N,Raymond James Financial Inc,31274405751.16,Financials,61.896039604,29.4273517988327,15912000000,2135000000,1721000000.0,1.361230148727
3,NBR.N,Nabors Industries Ltd,991615745.1,Energy,44.7757901918,4.364224600329,3184693000,286624000,272531000.0,
4,BDX.N,Becton Dickinson and Co,50083236785.01,Healthcare,88.2676048504,10.7209272703938,21840000000,1678000000,2184000000.0,2.38785604639263
5,ARI.N,Apollo Commercial Real Estate Finance Inc,1482541199.46,Real Estate,13.3658004761,86.2215330421667,731678000,126720000,-128137000.0,9.41619585687382
6,MDU.N,MDU Resources Group Inc,4251162676.8,Utilities,,13.1332937905229,1875100000,190400000,398100000.0,2.69230769230769
7,CART.OQ,Maplebear Inc,9529946593.2,Technology,10.3845239963,12.606620074198,3742000000,447000000,468000000.0,
8,CBNA.N,Chain Bridge Bancorp Inc,230647867.55,Financials,25.7884245529,11.8431447070241,,20237000,,
9,MATX.N,Matson Inc,5056778076.3,Industrials,78.6943620178,8.16509977966881,3421800000,476400000,274600000.0,0.887902330743618
10,FVR.N,FrontView REIT Inc,349923291.04,Real Estate,19.9779199213,27.5282726493176,59917000,-22213000,-19210000.0,5.32178217821782
11,GRND.N,Grindr Inc,1862119939.68,Technology,-0.7480655027,16.1202009244751,344636000,-131001000,-119436000.0,
12,CRMD.OQ,CorMedix Inc,578311590.3,Healthcare,1.4379935106,6.17616145728059,43472170,-17930020,-17735810.0,
13,SPFI.OQ,South Plains Financial Inc,689055371.33,Financials,30.3086859978,10.7903585908523,,58471000,,1.6079451406952
14,DHIL.OQ,Diamond Hill Investment Group Inc,461977785.0,Financials,58.8558266192,9.32944387539245,151095130,43177730,26508280.0,3.51390922401171
15,POWW.OQ,Outdoor Holding Company,221675684.58,Consumer Cyclicals,1.8873032244,8.32191843832293,49401550,-130833600,-61149510.0,
16,FRBA.OQ,FIRST BANK (Hamilton),432600928.2,Financials,17.776635874,27.6180498044329,,43659000,,2.08092485549133
17,FRPT.OQ,Freshpet Inc,3305300581.64,Consumer Non-Cyclicals,21.7658341411,22.1588255224646,975177000,46925000,-66552000.0,
18,GRDN.N,Guardian Pharmacy Services Inc,2118708413.64,Consumer Non-Cyclicals,2.3009295419,24.9183346261588,1228409000,-87287000,-67629000.0,
19,CAPR.OQ,Capricor Therapeutics Inc,1026379763.75,Healthcare,4.1302668502,,22270470,-40467190,-40580960.0,
20,SGHC.N,SGHC Ltd,4530512833.28,Consumer Cyclicals,1.1502856094,8.23514134986508,1835176448,122317410,57742210.2384,1.78571428571429
21,KEX.N,Kirby Corp,6771206000.0,Industrials,,10.6931172106866,3364050000,354569000,,
22,TT.N,Trane Technologies PLC,102979095439.35,Industrials,38.4717488789,24.1006797293664,21321900000,2918600000,2128700000.0,0.902701657102328
23,TRU.N,TransUnion,14222208000.0,Industrials,22.8353909465,12.6436014699878,4576300000,455400000,628200000.0,0.676406926406926
24,BTDR.OQ,Bitdeer Technologies Group,1895097526.56,Technology,4.2400441667,7.04834337175915,620253000,65597000,1474000.0,
25,WVE.OQ,WAVE Life Sciences Ltd,2317174405.48,Healthcare,1.5721216189,,108302000,-97008000,-94046000.0,
26,SLB.N,Slb NV,75349753529.15,Energy,18.3736805067,10.8582195459325,35708000000,3374000000,2264000000.0,2.34173447112522
27,TNET.N,TriNet Group Inc,1883453586.52,Industrials,1.125,6.505100748094,5010000000,155000000,100000000.0,2.76243093922652
28,PCTY.OQ,Paylocity Holding Corp,5771810013.96,Technology,22.1701557979,12.5795873110431,1595221000,227127000,251288000.0,
29,SMBC.OQ,Southern Missouri Bancorp Inc,717150492.24,Financials,48.4830035515,6.24837379277319,,58578000,51959000.0,1.54894671623296
30,AEBI.OQ,Aebi Schmidt Holding AG,1199571085.35,Industrials,4.7048314046,12.4854914141232,1085958000,30682000,43737000.0,0.644745325596389
31,DY.N,Dycom Industries Inc,12810344457.6,Industrials,42.5622677764,20.4813141013185,4702014000,233413000,181559000.0,
32,AVPT.OQ,AvePoint Inc,2278735145.28,Technology,1.4650148867,61.4971973891442,330482000,-29090000,-26786000.0,
33,STE.N,STERIS plc,24356932458.75,Healthcare,66.9886380928,16.3475793081147,5459515000,614641000,497806000.0,1.01469700020133
34,EQH.N,Equitable Holdings Inc,12575687000.0,Financials,,14.3106003440367,14137000000,-1380000000,,2.43298040099121
35,ACIW.OQ,ACI Worldwide Inc,4078161517.36,Technology,13.5018816771,10.3901763775102,1594288000,203118000,269029000.0,
36,IRMD.OQ,IRadimed Corp,1269698580.36,Healthcare,7.4373526175,45.2441556868218,83814000,22480000,,0.801522893497645
37,PLMR.OQ,Palomar Holdings Inc,3503347085.7,Financials,35.3857565373,7.28762838625928,,197070000,,
38,ACNT.OQ,Ascent Industries Co,166776400.0,Basic Materials,9.2563823471,35.8219630709427,177872000,-13598000,-5693000.0,
39,TCBX.N,Third Coast Bancshares Inc,699880374.2,Financials,38.3655932312,9.06163964627232,,66291000,,
40,DLB.N,Dolby Laboratories Inc,6307538454.26,Technology,27.3559164685,15.883660465688,1349130000,255018000,175752000.0,2.18115722508331
41,GTES.N,Gates Industrial Corporation PLC,7100343901.03,Industrials,12.9897908971,12.0363886417649,3443200000,251400000,378400000.0,
42,RYAN.N,Ryan Specialty Holdings Inc,10223787558.81,Financials,5.0922356946,15.070153476899,3051126000,63399000,368366000.0,1.34332213898218
43,ITT.N,ITT Inc,17467460000.0,Industrials,51.4408060453,19.5875459613332,3938500000,488000000,402300000.0,0.760179213234208
44,DIN.N,Dine Brands Global Inc,457663969.27,Consumer Cyclicals,-14.4678186324,8.61537970553817,812306000,64890000,58951000.0,2.39520958083832
45,VRDN.OQ,Viridian Therapeutics Inc,2662832023.2,Healthcare,9.8936552739,,302000,-269949000,-269920000.0,
46,EAT.N,Brinker International Inc,7014651330.96,Consumer Cyclicals,8.3161434978,9.02189809501749,5384200000,383100000,324400000.0,
47,TROW.OQ,T Rowe Price Group Inc,20495936000.0,Financials,49.3640909091,6.18184256638361,7314800000,2087100000,2725400000.0,5.54607508532423
48,CECO.OQ,CECO Environmental Corp,2820631193.34,Industrials,7.0915567217,43.7927038157665,557933000,12957000,11917000.0,
49,GDEN.OQ,Golden Entertainment Inc,740462035.65,Consumer Cyclicals,16.8261070111,8.49761127400522,666818000,50731000,69525000.0,3.53481795687522
0,GBX.N,Greenbrier Companies Inc,1767923970.12,Industrials,49.1642873183,8.39726539451098,3240200000,204100000,-5500000.0,2.23619846261356
1,CCI.N,Crown Castle Inc,39315300000.0,Real Estate,-3.7586206897,22.8938400576369,4264000000,444000000,-469000000.0,5.25835361805709
2,HTB.N,HomeTrust Bancshares Inc,759732401.55,Financials,,7.97775644151375,,64364000,,1.18316268486917
3,CNC.N,Centene Corp,19955499060.0,Healthcare,40.4630959044,17.2256271959799,194777000000,-6674000000,-6173000000.0,
4,HVT.N,Haverty Furniture Companies Inc,421717497.18,Consumer Cyclicals,18.8572041692,6.61914442302886,722899000,19956000,-10993000.0,5.08866615265998
5,AFG.N,American Financial Group Inc,10757266900.0,Financials,,9.2545404310345,,842000000,,2.72974020938348
6,PDYN.OQ,Palladyne AI Corp,300447322.56,Technology,-0.3560424129,,7786000,-72617000,-72057000.0,
7,INV.OQ,Innventure Inc,239108255.38,Financials,9.6815382851,,1220000,-78190000,-93720000.0,
8,SMA.N,SmartStop Self Storage REIT Inc,1984704356.67,Real Estate,6.049194445,24.096919241568,237006000,-5621000,-158860000.0,4.45696295281583
9,UPBD.OQ,Upbound Group Inc,1176065396.61,Consumer Cyclicals,11.5084714751,6.06425971734013,4320564000,123478000,103281000.0,7.68094534711965
10,WOOF.OQ,Petco Health and Wellness Company Inc,800777606.53,Consumer Cyclicals,4.0731136389,6.72711536654111,6116462000,-101816000,-48748000.0,
11,ACHC.OQ,Acadia Healthcare Company Inc,1547169443.82,Healthcare,33.5481494417,6.23520736260388,3153963000,255612000,-276306000.0,
12,IBP.N,Installed Building Products Inc,9336276625.83,Industrials,25.1621555187,20.4007356143358,2941300000,256600000,184900000.0,0.429995060867544
13,CRML.OQ,Critical Metals Corp,1089437616.96,Basic Materials,0.9894187708,,,-51871820,-52902790.0,
14,SANM.OQ,Sanmina Corp,7961938719.28,Technology,43.6336774983,16.1967105733504,8128382000,245893000,238369000.0,
15,AOS.N,A O Smith Corp,11126806721.82,Industrials,13.1745158915,13.6273893594937,3830200000,546200000,364800000.0,1.78970917225951
16,HTZ.OQ,Hertz Global Holdings Inc,1570428241.2,Industrials,0.5,8.21283442040632,9049000000,-2862000000,-9368000000.0,
17,SSTI.OQ,SoundThinking Inc,96254319.22,Technology,5.6961158877,185.249093094737,102031000,-9180000,-5501000.0,
18,CRNC.OQ,Cerence Inc,371849357.32,Technology,3.4894858731,6.76008183558592,251781000,-18714000,-22470000.0,
19,CPF.N,Central Pacific Financial Corp,899122625.03,Financials,22.003055129,10.8448868430829,,77480000,,3.40275740686418
20,HPQ.N,HP Inc,17680381912.98,Technology,-0.3657505285,4.98553886469547,55295000000,2529000000,1347000000.0,6.23052959501558
21,FCNCA.OQ,First Citizens BancShares Inc (Delaware),24011943273.68,Financials,1710.2917447929,13.5073164020302,,2206000000,,0.41877090738682
22,SKYW.OQ,SkyWest Inc,4177623263.0,Industrials,68.1260356204,5.96817838881125,4058202000,428334000,,
23,HD.N,Home Depot Inc,389294766209.25,Consumer Cyclicals,6.7070707071,17.3378968307832,159514000000,14806000000,6153000000.0,2.35264032732387
24,OGN.N,Organon & Co,1921273719.68,Healthcare,1.8362472087,5.93129706867569,6403000000,864000000,493000000.0,1.08254397834912
25,UI.N,Ubiquiti Inc,43578602927.64,Technology,11.0492724868,40.7287970153559,2573545000,711922000,576084000.0,0.44440741049357
26,UIS.N,Unisys Corp,159725677.44,Technology,-4.0954349051,2.69521172599725,2008400000,-193400000,-166600000.0,
27,NABL.N,N-Able Inc,996863376.05,Technology,4.0981233504,12.1412254724542,466147000,30958000,39113000.0,
28,TNGX.OQ,Tango Therapeutics Inc,1736262574.2,Healthcare,1.8266316313,,42069000,-130302000,-128556000.0,
29,RBCAA.OQ,Republic Bancorp Inc,1412814300.0,Financials,55.8292645867,8.09984133405817,,131317000,,2.73858921161826
30,KRRO.OQ,Korro Bio Inc,105191185.15,Healthcare,17.9826154412,,2271000,-83581000,-97883000.0,
31,CMT.A,Core Molding Technologies Inc,164035523.48,Basic Materials,16.951685264,5.53929932731748,302378000,13299000,15173000.0,0.0
32,TZOO.OQ,Travelzoo,58706649.69,Consumer Cyclicals,-0.0366841353,4.7564286677575,83902000,13564000,14412000.0,
33,MSA.N,MSA Safety Inc,7830827672.68,Industrials,34.8585271318,17.7243969551104,1874814000,278924000,199692000.0,1.04981677726057
34,GTM.OQ,Zoominfo Technologies Inc,1941673935.84,Technology,4.6562749671,8.56921392901972,1249500000,124200000,136900000.0,
35,PSA.N,Public Storage,52713361356.45,Real Estate,52.7118047046,19.6900131231188,4824113000,1784348000,-1111225000.0,3.99533877143333
36,AI.N,C3.ai Inc,1517320369.18,Technology,6.4939925168,,389056000,-288702000,-279134000.0,
37,BCPC.OQ,Balchem Corp,5855759670.6,Basic Materials,35.565786218,23.7503281914256,953684000,128475000,115211000.0,0.530944084951054
38,BCRX.OQ,BioCryst Pharmaceuticals Inc,1676744052.36,Healthcare,-2.3025796339,26.8865549104078,450712000,-88881000,-86993000.0,
39,CTEV.N,Claritev Corp,379924555.56,Industrials,5.2034028776,9.10493754817869,930624000,-1645831000,-1327517000.0,
40,TPB.N,Turning Point Brands Inc,2512953649.89,Consumer Non-Cyclicals,10.5998903815,23.9394200967874,360660000,39809000,44161000.0,0.227669423996357
41,FHB.OQ,First Hawaiian Inc,3226727432.8,Financials,22.1915289214,10.162965208548,,276266000,,3.95437262357415
42,VRTX.OQ,Vertex Pharmaceuticals Inc,124833380000.0,Healthcare,72.9988267501,25.0256238125396,12001300000,3953200000,3725400000.0,
43,EYPT.OQ,EyePoint Inc,1071266626.8,Healthcare,5.9771395076,,43273000,-130870000,-133382000.0,
44,CVLT.OQ,Commvault Systems Inc,3853475532.81,Technology,7.4144127708,33.5988084184719,995619000,76106000,81422000.0,
45,UMH.N,UMH Properties Inc,1371361480.3,Real Estate,12.3327441509,20.9268596053989,240552000,21635000,-156389000.0,5.59353635798633
46,GGG.N,Graco Inc,15695729151.06,Industrials,15.950925887,20.2572925822363,2236604000,521839000,400251000.0,1.24643498468364
47,ARW.N,Arrow Electronics Inc,7979148111.35,Technology,127.1081769748,10.1506937652517,30852935000,571266000,598190000.0,0.0
48,RES.N,RPC Inc,1283743444.5,Energy,,5.10822981618699,1626566000,32080000,,2.74914089347079
49,CV.OQ,CapsoVision Inc,226252776.75,Healthcare,0.3045696451,,11756000,-19898000,-19845000.0,
0,MBC.N,Masterbrand Inc,1494728784.09,Consumer Cyclicals,10.5874015748,8.60665957865211,2734700000,26700000,42000000.0,
1,NWPX.OQ,NWPX Infrastructure Inc,717552640.17,Basic Materials,37.7171238403,11.2519415449293,492548000,34206000,32478000.0,
2,URI.N,United Rentals Inc,54781298686.79,Industrials,139.1703781871,10.6083718178258,16099000000,2494000000,610000000.0,0.906195015927412
3,HCI.N,Hci Group Inc,2047167444.52,Financials,45.3469040712,3.75202566669032,,109953000,114256000.0,1.01291466193973
4,LXEO.OQ,Lexeo Therapeutics Inc,460550033.37,Healthcare,3.675722745,,,-98333000,-98185000.0,
5,NHC.A,National Healthcare Corp,2632783281.57,Healthcare,63.6725352707,14.2679920175086,1307382000,101927000,79507000.0,1.50863339029996
6,LFST.OQ,LifeStance Health Group Inc,2734671975.43,Healthcare,3.8145758769,42.4094469051352,1250970000,-57443000,-8059000.0,
7,NPCE.OQ,Neuropace Inc,497876544.9,Healthcare,0.2751120894,,79906000,-27141000,-27240000.0,
8,UUUU.A,Energy Fuels Inc,4916581832.96,Energy,3.0692064493,,78114000,-47765000,-75737000.0,
9,ASTH.OQ,Astrana Health Inc,941922412.14,Healthcare,14.9739586069,11.6095289063901,2034540000,43149000,65792000.0,
10,RPD.OQ,Rapid7 Inc,470151971.68,Technology,2.3904813329,15.4294796683873,859794000,23381000,45112000.0,
